2023-09-28 12:01:51.991 [main] INFO  c.d.DocuItServiceApplication - Starting DocuItServiceApplication using Java 17.0.4.1 with PID 8180 (D:\6.DockIt_Service_Project\DocuIt_Bug_Fixing_Branch\Bug_Fix_13Sep2013\docuitservice\target\classes started by 91637 in D:\6.DockIt_Service_Project\DocuIt_Bug_Fixing_Branch\Bug_Fix_13Sep2013\docuitservice)
2023-09-28 12:01:51.996 [main] INFO  c.d.DocuItServiceApplication - No active profile set, falling back to 1 default profile: "default"
2023-09-28 12:01:53.304 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-09-28 12:01:53.395 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 84 ms. Found 6 JPA repository interfaces.
2023-09-28 12:01:53.967 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-09-28 12:01:53.975 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-09-28 12:01:53.976 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-09-28 12:01:54.116 [main] INFO  o.a.c.c.C.[.[.[/dockitservice] - Initializing Spring embedded WebApplicationContext
2023-09-28 12:01:54.116 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2004 ms
2023-09-28 12:01:54.367 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-09-28 12:01:54.427 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2023-09-28 12:01:54.730 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-09-28 12:01:54.870 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3dea1ecc
2023-09-28 12:01:54.872 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-09-28 12:01:54.900 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2023-09-28 12:01:56.020 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-09-28 12:01:56.030 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-09-28 12:01:56.274 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.docuitservice.repository.UserRepository
2023-09-28 12:01:56.855 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.docuitservice.repository.CategoryRepository
2023-09-28 12:01:56.937 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.docuitservice.repository.DocumentRepository
2023-09-28 12:01:56.982 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.docuitservice.repository.MemberRepository
2023-09-28 12:01:57.021 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.docuitservice.repository.ShareRepository
2023-09-28 12:01:57.054 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.docuitservice.repository.FamilyRepository
2023-09-28 12:01:57.769 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
